Applicant_ID,Age,Gender,Annual_Income,Monthly_Income,Employment_Status,Occupation,Loan_Amount,Loan_Term,Interest_Rate,Credit_Score,Existing_Debt,Number_of_Credit_Cards,Number_of_Previous_Loans,Loan_Purpose,Property_Ownership,Marital_Status,Dependents,Savings_Balance,Checking_Balance,Payment_History,Previous_Defaults,Years_at_Current_Job,Loan_Default
100000,25,Other,187760.05,15646.67,Self-Employed,Clerk,372089.42,180,16.83,807,57843.79,2,5,Home,Mortgaged,Single,5,28933.97,35137.95,Poor,2,2,0
100001,58,Male,106509.85,8875.82,Employed,Clerk,450984.01,240,16.66,585,105604.83,3,5,Business,Owned,Single,4,58623.36,1372.51,Poor,2,23,0
100002,53,Female,210359.91,17529.99,Unemployed,Engineer,300134.41,24,7.25,638,117998.19,8,7,Home,Mortgaged,Divorced,1,62178.77,10486.48,Fair,1,22,0
100003,42,Female,148412.89,12367.74,Employed,Engineer,265230.07,36,4.18,494,72403.62,1,2,Home,Rented,Widowed,5,63204.18,4755.66,Good,1,30,1
100004,42,Other,38759.27,3229.94,Employed,Doctor,445300.95,12,9.12,790,63813.06,1,6,Auto,Mortgaged,Divorced,5,59208.64,3920.41,Good,0,20,0
100005,63,Male,196444.06,16370.34,Employed,Clerk,228321.94,60,6.41,341,86612.85,3,1,Auto,Rented,Widowed,0,18529.81,37825.64,Good,1,23,0
100006,25,Female,115299.36,9608.28,Employed,Clerk,406162.21,60,10.82,452,87774.51,6,7,Home,Rented,Widowed,0,23126.93,32222.78,Excellent,0,12,0
100007,55,Male,44035.99,3669.67,Employed,Teacher,28815.49,12,21.62,846,63821.88,8,0,Medical,Mortgaged,Married,1,75363.28,14589.01,Poor,1,13,0
100008,30,Other,46301.48,3858.46,Employed,Clerk,2642.39,120,6.85,566,113649.43,5,6,Personal,Rented,Single,4,44308.83,27491.72,Fair,3,14,0
100009,25,Female,155944.46,12995.37,Employed,Engineer,265089.66,12,9.4,396,59958.22,4,0,Business,Rented,Divorced,3,60356.03,36777.81,Good,0,33,0
100010,46,Female,24711.36,2059.28,Employed,Teacher,38658.72,180,16.91,527,67949.75,8,7,Education,Mortgaged,Divorced,3,47935.65,8832.54,Excellent,2,16,0
100011,68,Female,73751.72,6145.98,Employed,Clerk,488318.42,180,12.92,440,90797.73,1,7,Auto,Rented,Widowed,2,73960.15,566.03,Excellent,0,30,0
100012,57,Male,43656.46,3638.04,Unemployed,Doctor,4739.58,240,4.31,589,148027.34,9,6,Medical,Mortgaged,Divorced,2,69502.55,32964.33,Poor,2,11,0
100013,58,Other,105420.87,8785.07,Employed,Doctor,359638.52,24,6.49,429,39102.92,3,6,Personal,Rented,Widowed,3,20909.98,28907.93,Excellent,1,23,0
100014,56,Female,99942.52,8328.54,Employed,Unemployed,123205.58,240,20.8,520,34792.92,2,3,Personal,Owned,Widowed,0,70776.76,6410.29,Excellent,2,9,0
100015,59,Male,121984.67,10165.39,Employed,Driver,483840.9,84,5.41,800,26533.09,9,1,Education,Mortgaged,Divorced,3,24003.15,19585.83,Good,1,13,0
100016,46,Female,72325.45,6027.12,Employed,Business Owner,192007.74,240,15.25,345,103416.63,6,7,Home,Owned,Divorced,1,35278.44,6417.36,Fair,3,30,1
100017,27,Other,21568.94,1797.41,Employed,Driver,15587.15,120,18.16,720,67364.2,4,4,Business,Owned,Single,4,68098.69,24104.55,Excellent,2,23,0
100018,62,Other,140949.15,11745.76,Employed,Engineer,15414.01,120,8.41,343,58290.95,3,6,Education,Mortgaged,Widowed,1,25921.53,25902.8,Excellent,2,17,0
100019,43,Female,91612.19,7634.35,Self-Employed,Unemployed,277579.94,12,16.91,551,30613.56,4,5,Auto,Owned,Divorced,0,23261.75,11067.31,Fair,2,14,0
100020,45,Male,148523.67,12376.97,Employed,Business Owner,493382.57,120,6.64,668,133670.76,7,5,Auto,Owned,Widowed,2,53492.55,31233.49,Poor,3,27,0
100021,39,Female,37276.73,3106.39,Employed,Driver,489927.22,60,8.77,826,66475.96,1,2,Home,Rented,Single,2,79974.11,18943.85,Good,2,5,0
100022,29,Female,17824.36,1485.36,Employed,Unemployed,169961.94,240,9.27,437,91154.0,1,3,Medical,Owned,Single,3,10484.56,28254.32,Fair,0,29,0
100023,66,Female,65900.32,5491.69,Unemployed,Doctor,242386.42,120,21.93,329,16879.44,3,3,Home,Rented,Divorced,5,56084.85,25592.45,Good,0,21,0
